Title,Company,Experience,Salary,Location,Skills,Link
Production Executive,Bharat Rubber Works,2-5 Yrs,Not disclosed,Mumbai,"daily production planning, executive production, production, production management, record keeping, manpower handling, compliance, rubber",https://www.naukri.com/job-listings-production-executive-bharat-rubber-works-pvt-ltd-mumbai-2-to-5-years-120225500981
Dot Net Developer,Suncart,2-5 Yrs,Not disclosed,Bikaner,"c#, asp.net mvc, software development, entity framework, ado.net, net development, sql server, javascript",https://www.naukri.com/job-listings-dot-net-developer-suncart-bikaner-2-to-5-years-120225500799
Dot Net Developer,All About It Inc,2-5 Yrs,Not disclosed,Jaipur,".Net Developer, .Net, DoT, Development",https://www.naukri.com/job-listings-dot-net-developer-all-about-it-inc-jaipur-2-to-5-years-111124503721
DOT NET DEVELOPERS,Niveosys,1-6 Yrs,Not disclosed,Kozhikode,"Software testing, Front end, Web services, Business Analyst, Coding, Integration testing, ASP.Net, MVC",https://www.naukri.com/job-listings-dot-net-developers-niveosys-technologies-pvt-ltd-kozhikode-1-to-6-years-111124503310
Dot Net Developer,Commerce Pundit,2-3 Yrs,Not disclosed,Ahmedabad,"MS SQL, jQuery, Database design, Javascript, HTML, MVC, Stored procedures, microsoft",https://www.naukri.com/job-listings-dot-net-developer-commerce-pundit-ahmedabad-2-to-3-years-120325500276
DOT Net Developer,ADMS,2-6 Yrs,Not disclosed,Ahmedabad,"server, soa, software, software ing, jquery, layer, sql, quality",https://www.naukri.com/job-listings-dot-net-developer-adms-ahmedabad-2-to-6-years-120416500206
Dot Net Developer,Atlanta Systems,2-4 Yrs,Not disclosed,New Delhi,"TCP, MS SQL, Front end, Business analysis, Coding, Database design, XML, MySQL",https://www.naukri.com/job-listings-dot-net-developer-atlanta-systems-pvt-ltd-new-delhi-2-to-4-years-111124501258
Dot Net Developer,Prabhuti Systems,1-6 Yrs,Not disclosed,Ghaziabad,"MS SQL, RDBMS, Javascript, PHP, HTML, WCF, MVC, WPF",https://www.naukri.com/job-listings-dot-net-developer-prabhuti-systems-pvt-ltd-ghaziabad-1-to-6-years-111124503314
Full Stack Dot Net Developer,Knorish,4-7 Yrs,Not disclosed,Gurugram,"Software design, CSS, Debugging, Javascript, ASP.Net, Deployment, HTML, Object oriented programming",https://www.naukri.com/job-listings-full-stack-dot-net-developer-knorish-gurugram-4-to-7-years-120325501049
AWS Dot Net + React.js Developer - Immediate joiner - PAN India,Ltimindtree,5-10 Yrs,20-32.5 Lacs PA,Hybrid - india,"Aws Lambda, .Net, Angular, .Net Core, React.Js, AWS, DoT, Pan",https://www.naukri.com/job-listings-aws-dot-net-react-js-developer-immediate-joiner-pan-india-ltimindtree-india-5-to-10-years-120325011335
Dot Net Developer,IT Resonance Inc,4-9 Yrs,Not disclosed,Chennai,"MS SQL, Front end, Version control, GIT, C, Analytical, Javascript, SMS",https://www.naukri.com/job-listings-dot-net-developer-itresonance-chennai-4-to-9-years-111224503542
Sr. Dot Net Developer,Weblineindia,4-8 Yrs,Not disclosed,Ahmedabad,"IT services, ISO, Coding, XML, Analytical, Web development, Javascript, SMS",https://www.naukri.com/job-listings-sr-dot-net-developer-weblineindia-ahmedabad-4-to-8-years-120321501522
Dot NET Developer,GIS Consortium,2-7 Yrs,Not disclosed,Noida,"jQuery, LINQ, Postgresql, Javascript, WCF, MVC, Visual Studio, Oracle",https://www.naukri.com/job-listings-dot-net-developer-gis-consortium-india-noida-2-to-7-years-120422500539
Net MVC / Dot Net core Developers,Sunsea E,2-7 Yrs,Not disclosed,Chennai,"UI development, Web application development, Front end, Version control, GIT, Architecture, Coding, MySQL",https://www.naukri.com/job-listings-net-mvc-dot-net-core-developers-sunsea-e-service-chennai-2-to-7-years-111223500876
Dot Net SQL Developer,Sunsea E,5-10 Yrs,Not disclosed,Chennai,"Front end, Coding, Database design, Debugging, Javascript, Database administration, HTML, Application development",https://www.naukri.com/job-listings-dot-net-sql-developer-sunsea-e-service-chennai-5-to-10-years-111223500874
ASP Dot Net Developer,CL Tech Solutions,2-7 Yrs,Not disclosed,Chennai,"ASP .Net Developer, ASP.Net, developer, net, asp, Development, DoT, .Net",https://www.naukri.com/job-listings-asp-dot-net-developer-cl-tech-solutions-chennai-2-to-7-years-120419500546
Dot Net Developer,Destiny HR group,7-12 Yrs,Not disclosed,Noida,"Multithreading, LINQ, Coding, .Net, HTTP, Windows, WCF, Unit testing",https://www.naukri.com/job-listings-dot-net-developer-destiny-hr-group-noida-7-to-12-years-111120500564
Dot net Full Stack Developer,Blue Aves E-health,5-10 Yrs,Not disclosed,Noida,"Asp . Net Mvc, Web Api, . Net Core, Linq, C #, Javascript, Jquery, Sql",https://www.naukri.com/job-listings-dot-net-full-stack-developer-blue-aves-e-health-private-limited-noida-5-to-10-years-111221500635
Dot net Developer,Diverse Lynx,2-6 Yrs,Not disclosed,Chennai,"jQuery, Web technologies, Architecture, Javascript, .Net, MVC, microsoft, SQL",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-2-to-6-years-120321500860
Dot net developer,Diverse Lynx,10-12 Yrs,Not disclosed,Chennai,"VB.NET, ADO.Net, Project management, Programming, Manager Technology, ASP.Net, .Net, HTML",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-chennai-10-to-12-years-111122501262
Quality Engineer,PCA Signages,2-5 Yrs,Not disclosed,Mumbai,"quality control, quality audit, production, engineering, quality analysis, qc, quality engineering, quality check",https://www.naukri.com/job-listings-quality-engineer-pca-signages-mumbai-2-to-5-years-110724502580
Software Developer-Dot Net,Destiny HR group,4-9 Yrs,Not disclosed,Delhi,"Web services, Integration testing, SAT, .Net, HTTP, WCF, MVC, Unit testing",https://www.naukri.com/job-listings-software-developer-dot-net-destiny-hr-group-delhi-4-to-9-years-111120500514
Dot Net Developer,Destiny HR group,1-3 Yrs,Not disclosed,Delhi,"jQuery, MVC framework, Debugging, Database, .Net, HTTP, MVC, Stored procedures",https://www.naukri.com/job-listings-dot-net-developer-destiny-hr-group-delhi-1-to-3-years-111120500537
Dot Net Developer,MyfutureJob,1-3 Yrs,Not disclosed,Gurugram,"jQuery, System programming, Integration testing, Javascript, HTTP, WCF, MVC, WPF",https://www.naukri.com/job-listings-dot-net-developer-myfuturejob-gurugram-1-to-3-years-111022502686
Dot Net Developer,Zoot Systems,2-6 Yrs,Not disclosed,Noida,"Javascript, Agile, HTML, HTTP, MVC, Outsourcing, Troubleshooting, SQL",https://www.naukri.com/job-listings-dot-net-developer-zoot-systems-noida-2-to-6-years-110324500967
DOT Net Developer,Pavian Computer Systems,2-3 Yrs,Not disclosed,Madurai,"com, server, web services, technical, developing, microsoft, vb.net, ajax",https://www.naukri.com/job-listings-dot-net-developer-pavian-computer-systems-madurai-2-to-3-years-111116500498
Dot Net Developer,Gforce Consulting Solutions,2-6 Yrs,Not disclosed,Kolkata,"Oracle SQL, Database, ASP.Net, .Net, Information technology, DBMS, SQL, Technology",https://www.naukri.com/job-listings-dot-net-developer-gforce-consulting-solutions-kolkata-2-to-6-years-110523500855
DOT Net Developer,ADMS ONLINE,2-4 Yrs,Not disclosed,Ahmedabad,"server, tware implementation, soa, software, team player, jquery, layer, stored procedures",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-2-to-4-years-110816500347
Dot Net Developer,ADMS,2-7 Yrs,Not disclosed,"Ahmedabad, Ahmedabad","server, soa, software, jquery, service oriented architectures, sql, stored procedures, quality systems",https://www.naukri.com/job-listings-dot-net-developer-adms-ahmedabad-ahmedabad-2-to-7-years-110815500846
Dot Net Core Developer,Thinkersteps Technologies,2-5 Yrs,Not disclosed,Nagpur,"Front end, Version control, GIT, Coding, Web development, Debugging, Javascript, HTML",https://www.naukri.com/job-listings-dot-net-core-developer-thinkersteps-technologies-pvt-ltd-nagpur-2-to-5-years-110723500467
Dot Net Developer,Ratna Global Retail,1-3 Yrs,Not disclosed,Noida,"jQuery, XML, OOAD, Web development, Javascript, Data structures, HTML, WCF",https://www.naukri.com/job-listings-dot-net-developer-ratna-global-technologies-noida-1-to-3-years-110325505053
Dot Net Lead,Emorphis,3-6 Yrs,Not disclosed,Indore,"Performance tuning, IIS, jQuery, Linux, Coding, SSRS, Javascript, WCF",https://www.naukri.com/job-listings-dot-net-lead-emorphis-technologies-indore-3-to-6-years-110325502635
Dot Net Developer,Destiny HR group,3-8 Yrs,Not disclosed,Noida,"Computer science, LINQ, SSRS, Entity framework, .Net, HTTP, MVC, WPF",https://www.naukri.com/job-listings-dot-net-developer-destiny-hr-group-noida-3-to-8-years-111120500504
DOT NET developer,Xturion,3-8 Yrs,Not disclosed,Chennai,"server, development, oracle, soa, technical, consulting, l, ajax",https://www.naukri.com/job-listings-dot-net-developer-xturion-chennai-3-to-8-years-110416500095
Dot Net Developer,Softprodigy,4-5 Yrs,Not disclosed,Mohali,"jQuery, Coding, GCP, Analytical, Javascript, HTML, HTTP, MVC",https://www.naukri.com/job-listings-dot-net-developer-softprodigy-mohali-4-to-5-years-110325504746
Senior Dot Net Developer (Microservices),Impronics Technologies,4-8 Yrs,Not disclosed,"Noida, New Delhi, Gurugram","github, orchestration, Architecture, Database management, Postgresql, Schema, ASP.Net, Application development",https://www.naukri.com/job-listings-senior-dot-net-developer-microservices-impronics-technologies-noida-new-delhi-gurugram-4-to-8-years-110325503818
MVC Dot Net Developer,Destiny HR group,3-8 Yrs,Not disclosed,Noida,"Computer science, LINQ, SSRS, Entity framework, .Net, HTTP, MVC, WPF",https://www.naukri.com/job-listings-mvc-dot-net-developer-destiny-hr-group-noida-3-to-8-years-111120500525
Core Dot Net Developer,UST,5-7 Yrs,Not disclosed,Thiruvananthapuram,"Postgresql, Cloud, Database, .Net, AWS, DBMS, DoT, Core",https://www.naukri.com/job-listings-core-dot-net-developer-ust-thiruvananthapuram-5-to-7-years-110325503404
Dot NET Developer,Diverse Lynx,2-6 Yrs,Not disclosed,Noida,"Construction, Web technologies, Coding, OOPS, Technical Lead, .Net, SQL, Technical",https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-noida-2-to-6-years-110722502788
Senior Dot Net Core Developer,Sails Software Solutions,7-12 Yrs,Not disclosed,Visakhapatnam,"MS SQL, Linux, Postgresql, Agile, Healthcare, Application development, HTTP, Scrum",https://www.naukri.com/job-listings-senior-dot-net-core-developer-sails-software-solutions-private-limited-visakhapatnam-7-to-12-years-110325502966
Production Supervisor,Abak Electrofab,4-7 Yrs,Not disclosed,Mumbai,"employee training, production, logistics, engineering, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-abak-electrofab-engineering-private-limited-mumbai-4-to-7-years-101224501290
Dot Net Developer,Ansorbit Technolabs,2-4 Yrs,Not disclosed,Ahmedabad,"Basic, Front end, GIT, Javascript, Database, Microsoft Dynamics, Object oriented programming, Android",https://www.naukri.com/job-listings-dot-net-developer-ansorbit-technolabs-pvt-ltd-ahmedabad-2-to-4-years-101224500537
Dot Net Developer,Pavian Computer Systems,2-7 Yrs,Not disclosed,Madurai,", com, server, web sed applications, technical, developing, microsoft, vb.net",https://www.naukri.com/job-listings-dot-net-developer-pavian-computer-systems-madurai-2-to-7-years-110216501453
Dot Net Developer,Code Microsystems,3-4 Yrs,Not disclosed,Nagpur,"UI development, Analytical, OOPS, Programming, WCF, WPF, DoT, UI",https://www.naukri.com/job-listings-dot-net-developer-code-microsystem-opc-pvt-ltd-nagpur-3-to-4-years-101219500916
Dot Net Developer,Trucksuvidha,2-5 Yrs,Not disclosed,Ghaziabad,". Net Developer, DoT, .Net, Development, Net Development",https://www.naukri.com/job-listings-dot-net-developer-trucksuvidha-ghaziabad-2-to-5-years-110225504110
Dot Net Developer,Pavian Computer Systems,2-7 Yrs,Not disclosed,Madurai,", com, server, technical, developing, microsoft, vb.net, ajax",https://www.naukri.com/job-listings-dot-net-developer-pavian-computer-systems-madurai-2-to-7-years-110216501140
Dot NET DEVELOPER,Smart Edge Software,2-7 Yrs,Not disclosed,Bhubaneshwar,"Web technologies, Programming, Program, DoT, .Net, Development",https://www.naukri.com/job-listings-dot-net-developer-smart-edge-software-pvt-ltd-bhubaneshwar-2-to-7-years-101019500883
Dot Net Developer,Weblineindia,1-3 Yrs,Not disclosed,Ahmedabad,"SAN, MS SQL, jQuery, Prototype, XML, Javascript, Outsourcing, WCF",https://www.naukri.com/job-listings-dot-net-developer-weblineindia-ahmedabad-1-to-3-years-110221501878
Dot Net Developer,ADMS Online,2-7 Yrs,Not disclosed,"Ahmedabad, Ahmedabad","server, soa, software, jquery, service oriented architectures, sql, stored procedures, quality systems",https://www.naukri.com/job-listings-dot-net-developer-adms-online-ahmedabad-ahmedabad-2-to-7-years-100815500496
Mechanical Engineer,Saideep Vibrators,1-4 Yrs,Not disclosed,Mumbai,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-saideep-mumbai-1-to-4-years-100724500195
Dot Net Fullstack Developer,Trimble Applanix,2-3 Yrs,Not disclosed,Chennai,"Object oriented design, github, MS SQL, Front end, Web technologies, Web services, Coding, Javascript",https://www.naukri.com/job-listings-dot-net-fullstack-developer-applanix-chennai-2-to-3-years-101224501199
dot net full stack developers,Suwanee Technologies,1-2 Yrs,Not disclosed,Tirupati,"Developer, .Net, Stack, ASP.Net, Net Fullstack, DoT, Full Stack, Development",https://www.naukri.com/job-listings-dot-net-full-stack-developers-suwanee-technologies-private-limited-tirupati-1-to-2-years-101224504140
Dot Net Developer,Vaanam Technologies Pvt.Ltd,2-5 Yrs,Not disclosed,Coimbatore,"jQuery, Visual Basic, Web services, Architecture, Javascript, Agile, WCF, MVC",https://www.naukri.com/job-listings-dot-net-developer-vaanam-technologies-pvt-ltd-coimbatore-2-to-5-years-101224502650
Dot NET Project Managers/Project Leads,Accusol Technologies,4-9 Yrs,Not disclosed,"Ahmedabad, Ahmedabad","b tech, enterprise application, development, design development, asp net 2 0, developing, mca, application development",https://www.naukri.com/job-listings-dot-net-project-managers-project-leads-accusol-technologies-pvt-ltd-ahmedabad-ahmedabad-4-to-9-years-100915501507
Dot Net Developer,Softhought,3-4 Yrs,Not disclosed,Kolkata,". Net Developer, DoT, .Net, Development, Net Development",https://www.naukri.com/job-listings-dot-net-developer-softhought-kolkata-3-to-4-years-110225504033
Dot Net Developer,Intelizest,5-10 Yrs,Not disclosed,"Chennai, Coimbatore","VB.NET, Web technologies, SQL database, Script writing, Debugging, .Net, microsoft, Software solutions",https://www.naukri.com/job-listings-dot-net-developer-intelizest-consulting-pvt-ltd-chennai-coimbatore-5-to-10-years-101224502966
Full Stack Lead Developer (Dot Net ),PB Partners,4-8 Yrs,Not disclosed,Gurugram,".Net, Stack, Full Stack, DoT, Development",https://www.naukri.com/job-listings-full-stack-lead-developer-dot-net-pb-partners-gurugram-4-to-8-years-101224503635
Dot net Developer- Windows Application,technologiesindia.com,2-5 Yrs,Not disclosed,Delhi,"c#, server, windows application, oracle, rdbms, systems design, windows, core nking",https://www.naukri.com/job-listings-dot-net-developer-windows-application-technologiesindia-com-delhi-2-to-5-years-110216501163
dot net Solution / Software Architect,"Sardonyx Technologies Pvt. Ltd.,",7-12 Yrs,Not disclosed,Chennai,"project initiation, net 4 0, mysql, project life cycle, wcf, mvc, wpf, team handling skills",https://www.naukri.com/job-listings-dot-net-solution-software-architect-sardonyx-technologies-pvt-ltd-chennai-7-to-12-years-110317500332
Dot NET Tech Architect,Doodleblue Innovations,7-8 Yrs,Not disclosed,Chennai,"c#, ats systems, asp.net mvc, scr, warranty analysis, dealer handling, hrsd, autocad",https://www.naukri.com/job-listings-dot-net-tech-architect-doodleblue-chennai-7-to-8-years-100724500887
Dot Net Angular Developer,Xcellence It,1-3 Yrs,Not disclosed,Surat,"Computer science, Analytical skills, Usage, Application testing, SSRS, .Net, HTML, Budgeting",https://www.naukri.com/job-listings-dot-net-angular-developer-xcellence-it-surat-1-to-3-years-100624501228
Dot Net Developer,Dynode Software Technology,3-5 Yrs,Not disclosed,Patna,"Net Developer, Net Development, .Net, DoT, Development",https://www.naukri.com/job-listings-dot-net-developer-dynode-software-technology-p-ltd-patna-3-to-5-years-100524502152
